id;type_meg;code_offre;date_effet
756a87dd-90b9-42e4-b6e2-6b11b8a0705d;uh-huh dulcimer;ick towards;2025-04-09
b634192c-fbbd-495e-8c7f-a33fe969f2f8;lumpy;since;2025-04-09
5d813208-1316-4f39-ad6e-ea49b67f0667;indeed;that;2025-04-09
8dcaa7f6-f9e4-4e66-8e5e-277b8668d60f;self-confidence;upon;2025-04-09
884e1881-6e3b-436d-b8b7-0bad8c40e70e;genuine joshingly;after;2025-04-09
4dfc3434-8eaf-4cb1-bdc0-7f832b705d5c;labourer yippee than;gah;2025-04-09
1de4473f-78a1-4f27-a13f-d349bc6111e3;a summarise legging;colorful mundane awful;2025-04-09
5fd9ce58-5e58-472f-910f-db0bf484610a;boo;pigpen lest;2025-04-09
8079d6ab-a56b-4aa5-8098-04cc574a7487;needily usefully marvelous;secret controvert;2025-04-09
f21add96-7a5a-4af8-bd40-8edb34b2edb8;er supposing scar;aw versus;2025-04-09
