id;id_entreprise_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siren;code_forme_juridique;raison_sociale;code_categorie_juridique;code_idcc;code_ape
8cd867d0-f826-4fc5-a85f-1bd9d3539a4a;between bah;fooey;sin;attend ouch;mmm taut behold;incidentally;uselessly gorgeous duh;criminal generously overcoat;2025-04-09;2025-04-09;2025-04-09;staid;shadowbox onto;2025-04-09;2025-04-09;account;quicker;phooey;salty if see;slowly drat;zowie boohoo crossly;weird lovingly;gleefully ferociously
f37f3208-16df-407f-a1ab-930691942be4;cricket rosin;fooey deprave what;hotfoot qua deduction;and or gah;grumpy circa gnash;bran;gadzooks steak unless;basic typewriter;2025-04-09;2025-04-10;2025-04-09;quietly;shy spring;2025-04-09;2025-04-09;yum;outgoing before;lazily;lest;pfft;accountability that battle;less;how
c07fc37e-da24-40a5-a27c-715830f0aa47;inwardly duh;yuck;imagineer entrench;notwithstanding why;lawful so;between;planula dicker rusty;boohoo er unless;2025-04-09;2025-04-09;2025-04-09;gym avow;athwart kissingly;2025-04-09;2025-04-10;airbus um;over;nor;gah how meatloaf;militate unbearably;despite furlough hotfoot;eyeglasses swing worthy;vibraphone coordination
f2777798-b679-4b6a-af79-c35e5acb9603;repentant;archaeology kinase;afford bah after;when pacemaker;fully;yahoo why;uh-huh onto;while warp;2025-04-10;2025-04-10;2025-04-09;controvert thorn;gosh smart;2025-04-09;2025-04-09;above;per huff;valiantly woot courageous;enroll elegantly;pfft unless leap;motionless about;surprisingly between boohoo;coordination so
864f3b1b-f925-41b0-bea5-c6128f8d495a;huzzah;circa angle;quirkily;that;or hence yawningly;mob boohoo;inside airport pish;scarily;2025-04-09;2025-04-09;2025-04-09;lest;tighten grave pish;2025-04-09;2025-04-09;bobble;deduct;since;what embarrassment stealthily;miserably;indeed oof;since;fraternise
5ed0752a-3896-4732-baf8-2d0a537ac127;scrape baptise;as focused;reassuringly against or;lest injunction furthermore;within publication around;afore even whenever;incidentally;concerning;2025-04-09;2025-04-09;2025-04-09;aha;sustenance;2025-04-10;2025-04-09;upside-down psst provided;lanky pfft separately;psst oof;shaft after for;diagram instantly smuggle;wonderfully;ravage doting;dearest versus worthless
2db66922-ce83-4c97-9d10-afd4927ab53c;freely;sudden doodle;chairperson unless kick;unkempt which;hydrocarbon upon;diversity towards forgo;mmm likewise;to;2025-04-09;2025-04-09;2025-04-09;from;transplant during;2025-04-09;2025-04-09;pleasure forenenst ick;pfft acceptable yippee;as beneath;foodstuffs outdo;although while muted;eek;likely supplier;who
f7f4431a-d068-4507-b27b-fd10ed612d27;consequently however gadzooks;lonely;concerning indeed;who;petal while;accredit although;upright;miserably;2025-04-10;2025-04-09;2025-04-09;mobilize foolishly negligible;versus gah;2025-04-09;2025-04-09;why beyond;gadzooks;chops;aboard mysteriously juicy;after;over ready always;atop geez blushing;curiously singing more
a42c40b0-50c4-45e2-afbf-8827d00c1da8;decision but;noisily rowdy potentially;shanghai overreact;reconsideration;adjourn;however accept climb;scent;by;2025-04-09;2025-04-09;2025-04-10;as from;own utter ideal;2025-04-09;2025-04-09;progress although triumphantly;yesterday worth which;procrastinate;backbone ceramic afore;eek;phew afore afterwards;eggplant merge;between
0c614c40-44b1-42d1-9b31-d4b92622f78c;mortally;since alert;like;yowza gracefully whoa;like coarse oh;lively than;over option;colorize marksman fortunately;2025-04-09;2025-04-09;2025-04-09;language propound tut;misjudge pension;2025-04-09;2025-04-09;aha;jubilantly over furthermore;meh;flat ew sheepishly;camouflage anxiously;unless rapidly;brood of adviser;cheerfully
