id;id_etablissement_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_idcc;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siret;code_type_etablissement;libelle_enseigne;code_nic
6be0dc22-e535-4363-83da-b8f3115a5dc5;querulous and;hateful;peninsula;kindheartedly slowly;along worriedly;self-confidence;ah pace;invite;plus whoa thick;lawful tensely oblong;midst;noon;squid advocate notwithstanding;ew likewise offensively;fortunately fooey swift;upliftingly;integer inasmuch pish;ouch red;superior;charming mmm;until awkwardly barring;ideal as
bad7d617-1a72-46b8-bfc0-6beec880cc79;kiddingly where;around;a apud;weekly before;ick afore hmph;overheard;and damaged;hence pish;whenever tempting;judgementally corner;gosh ugh whether;scowl cruelly meh;bright grubby;aha advanced typify;integer gorgeous how;never;skyline when junior;ouch;incidentally;meanwhile tomb;fray;unnaturally attest
142a7c40-1133-4a16-a85e-336ea2a547ab;subsidy eternity suddenly;unfortunately;swiftly ultimately;grandson;cone cope;gah like impartial;yippee hovel peaceful;lucky oh;swing;monocle;gosh;drab utilization govern;bah utilized er;versus;lieu;jogging;and dusk winged;tangible coaxingly wherever;stingy woot;where near;obediently;meager
5855590e-4ec1-42dc-8687-43bf4672c6f9;hm;bloom abseil meh;silently bogus;annual woot;deliberately soupy;regarding which;huddle woeful;gown;given until blond;vein madly whose;hold provided birth;behest stiff beard;edible;unless;bob longboat while;graffiti toothbrush reluctantly;wrathful fooey;miserably not geez;quip;wound queasily;underplay squid during;valuable splurge drum
10518f16-1b9b-497d-9ec0-52b3cc87ec89;as velocity;hence editor where;via;sun red focalise;enormously;eek across;innocently but;now presell unlike;precious through;male given equally;allocation strident;furthermore gifted lasting;gah boldly;step-mother;yuck bookend geez;regarding;beyond unblinking sate;whereas;idle;glum kettledrum;charlatan wicked;yet bloom when
c2fa626e-abb1-424e-aacb-e326796fd79d;till offend which;libel pulverize;meanwhile though;the scarily;overwork;yowza toward venom;thoughtfully till popularize;char noon;which;status helplessly pitiful;fondly substitution even;e-mail lively;unless mushy flat;modulo unexpectedly wholly;beautifully blah;opposite;kiddingly gah out;sandy;yak putrefy pfft;colossal;outside;but an
0a66ec5c-2bb6-424a-b123-82df642db50e;apropos dereference;fooey thoroughly zowie;sedately cod;factorize bah boiling;furthermore;inasmuch now;institute astonishing reconstitute;interchange cow;unless overcoat upward;sesame mid windy;upbeat;and;silt;over kookily;where jeopardise unselfish;inure than;eek reboot;frantically;border courtroom wherever;aside during;besides;pleasing decision
26c1869c-9998-4e1f-9a1e-1b21efafb524;rebel wherever familiar;yawn upright;frail given phew;memorable enlightened early;yum gah husk;pish athwart;manage;yet insistent psst;vibrant where;blah briefly;and towards;until;dishonor deliquesce winged;massage navigate along;for;ideal than;irresponsible upward;meanwhile;flame;if crossly;deserted sting;kick upbeat
6c3707ad-a752-4c8e-b9e5-d677ce5b4d12;brr ascertain;yuck;why ugh ack;schlep;gleefully until gadzooks;stint;hope certainly jaywalk;consistency aside;eulogise;whoever;retract elevation but;from now;capsize;within frantically which;spook meh;purple;consequently;ornery an for;overheard save step;unit;duh per an;respectful
4aa47547-6a86-4f1b-9322-464bd7206563;following;wasteful with yet;eyeglasses readily;although couch aw;publicity monthly;once;repeat um;needy lost;phooey;forenenst obsess rough;along;ick;tensely tarry;unabashedly suffocate once;yum yet zowie;what;mortise;instead tidy gripper;duh;case;down always confiscate;delete sniveling
